MovieID,Title,Genres,RatingsCount,Cluster
1,Toy Story (1995),"['Animation', ""Children's"", 'Comedy']",2077,1
2,Jumanji (1995),"['Adventure', ""Children's"", 'Fantasy']",701,3
3,Grumpier Old Men (1995),"['Comedy', 'Romance']",478,1
4,Waiting to Exhale (1995),"['Comedy', 'Drama']",170,0
5,Father of the Bride Part II (1995),['Comedy'],296,1
6,Heat (1995),"['Action', 'Crime', 'Thriller']",940,3
7,Sabrina (1995),"['Comedy', 'Romance']",458,1
8,Tom and Huck (1995),"['Adventure', ""Children's""]",68,3
9,Sudden Death (1995),['Action'],102,3
10,GoldenEye (1995),"['Action', 'Adventure', 'Thriller']",888,3
11,"American President, The (1995)","['Comedy', 'Drama', 'Romance']",1033,1
12,Dracula: Dead and Loving It (1995),"['Comedy', 'Horror']",160,2
13,Balto (1995),"['Animation', ""Children's""]",99,3
14,Nixon (1995),['Drama'],153,0
15,Cutthroat Island (1995),"['Action', 'Adventure', 'Romance']",146,3
16,Casino (1995),"['Drama', 'Thriller']",682,0
17,Sense and Sensibility (1995),"['Drama', 'Romance']",835,0
18,Four Rooms (1995),['Thriller'],157,3
19,Ace Ventura: When Nature Calls (1995),['Comedy'],389,1
20,Money Train (1995),['Action'],160,3
21,Get Shorty (1995),"['Action', 'Comedy', 'Drama']",1356,0
22,Copycat (1995),"['Crime', 'Drama', 'Thriller']",378,0
23,Assassins (1995),['Thriller'],126,3
24,Powder (1995),"['Drama', 'Sci-Fi']",624,0
25,Leaving Las Vegas (1995),"['Drama', 'Romance']",980,0
26,Othello (1995),['Drama'],100,0
27,Now and Then (1995),['Drama'],61,0
28,Persuasion (1995),['Romance'],179,3
29,"City of Lost Children, The (1995)","['Adventure', 'Sci-Fi']",403,3
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),['Drama'],74,0
31,Dangerous Minds (1995),['Drama'],141,0
32,Twelve Monkeys (1995),"['Drama', 'Sci-Fi']",1511,0
33,Wings of Courage (1995),"['Adventure', 'Romance']",4,3
34,Babe (1995),"[""Children's"", 'Comedy', 'Drama']",1751,0
35,Carrington (1995),"['Drama', 'Romance']",70,0
36,Dead Man Walking (1995),['Drama'],928,0
37,Across the Sea of Time (1995),['Documentary'],8,3
38,It Takes Two (1995),['Comedy'],28,1
39,Clueless (1995),"['Comedy', 'Romance']",1362,1
40,"Cry, the Beloved Country (1995)",['Drama'],30,0
41,Richard III (1995),"['Drama', 'War']",242,0
42,Dead Presidents (1995),"['Action', 'Crime', 'Drama']",221,0
43,Restoration (1995),['Drama'],166,0
44,Mortal Kombat (1995),"['Action', 'Adventure']",311,3
45,To Die For (1995),"['Comedy', 'Drama']",544,0
46,How to Make an American Quilt (1995),"['Drama', 'Romance']",166,0
47,Seven (Se7en) (1995),"['Crime', 'Thriller']",1137,3
48,Pocahontas (1995),"['Animation', ""Children's"", 'Musical', 'Romance']",382,3
49,When Night Is Falling (1995),"['Drama', 'Romance']",27,0
50,"Usual Suspects, The (1995)","['Crime', 'Thriller']",1783,3
51,Guardian Angel (1994),"['Action', 'Drama', 'Thriller']",0,0
52,Mighty Aphrodite (1995),['Comedy'],431,1
53,Lamerica (1994),['Drama'],8,0
54,"Big Green, The (1995)","[""Children's"", 'Comedy']",41,1
55,Georgia (1995),['Drama'],45,0
56,Kids of the Round Table (1995),"['Adventure', ""Children's"", 'Fantasy']",9,3
57,Home for the Holidays (1995),['Drama'],99,0
58,"Postino, Il (The Postman) (1994)","['Drama', 'Romance']",501,0
59,"Confessional, The (Le Confessionnal) (1995)","['Drama', 'Mystery']",8,0
60,"Indian in the Cupboard, The (1995)","['Adventure', ""Children's"", 'Fantasy']",357,3
61,Eye for an Eye (1996),"['Drama', 'Thriller']",67,0
62,Mr. Holland's Opus (1995),['Drama'],541,0
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),['Comedy'],111,1
64,Two if by Sea (1996),"['Comedy', 'Romance']",79,1
65,Bio-Dome (1996),['Comedy'],143,1
66,Lawnmower Man 2: Beyond Cyberspace (1996),"['Sci-Fi', 'Thriller']",97,3
67,Two Bits (1995),['Drama'],4,0
68,French Twist (Gazon maudit) (1995),"['Comedy', 'Romance']",60,1
69,Friday (1995),['Comedy'],319,1
70,From Dusk Till Dawn (1996),"['Action', 'Comedy', 'Crime', 'Horror', 'Thriller']",914,2
71,Fair Game (1995),['Action'],96,3
72,Kicking and Screaming (1995),"['Comedy', 'Drama']",93,0
73,"Misérables, Les (1995)","['Drama', 'Musical']",224,0
74,Bed of Roses (1996),"['Drama', 'Romance']",120,0
75,Big Bully (1996),"['Comedy', 'Drama']",12,0
76,Screamers (1995),"['Sci-Fi', 'Thriller']",178,3
77,Nico Icon (1995),['Documentary'],34,3
78,"Crossing Guard, The (1995)",['Drama'],50,0
79,"Juror, The (1996)","['Drama', 'Thriller']",114,0
80,"White Balloon, The (Badkonake Sefid ) (1995)",['Drama'],52,0
81,Things to Do in Denver when You're Dead (1995),"['Crime', 'Drama', 'Romance']",166,0
82,Antonia's Line (Antonia) (1995),['Drama'],89,0
83,Once Upon a Time... When We Were Colored (1995),['Drama'],33,0
84,Last Summer in the Hamptons (1995),"['Comedy', 'Drama']",21,0
85,Angels and Insects (1995),"['Drama', 'Romance']",194,0
86,White Squall (1996),"['Adventure', 'Drama']",236,0
87,Dunston Checks In (1996),"[""Children's"", 'Comedy']",76,1
88,Black Sheep (1996),['Comedy'],192,1
89,Nick of Time (1995),"['Action', 'Thriller']",229,3
90,"Journey of August King, The (1995)",['Drama'],6,0
92,Mary Reilly (1996),"['Drama', 'Thriller']",88,0
93,Vampire in Brooklyn (1995),"['Comedy', 'Romance']",89,1
94,Beautiful Girls (1996),['Drama'],182,0
95,Broken Arrow (1996),"['Action', 'Thriller']",638,3
96,In the Bleak Midwinter (1995),['Comedy'],13,1
97,"Hate (Haine, La) (1995)",['Drama'],44,0
98,Shopping (1994),"['Action', 'Thriller']",6,3
99,Heidi Fleiss: Hollywood Madam (1995),['Documentary'],50,3
100,City Hall (1996),"['Drama', 'Thriller']",128,0
101,Bottle Rocket (1996),['Comedy'],253,1
102,Mr. Wrong (1996),['Comedy'],60,1
103,Unforgettable (1996),['Thriller'],33,3
104,Happy Gilmore (1996),['Comedy'],682,1
105,"Bridges of Madison County, The (1995)","['Drama', 'Romance']",387,0
106,Nobody Loves Me (Keiner liebt mich) (1994),"['Comedy', 'Drama']",12,0
107,Muppet Treasure Island (1996),"['Adventure', ""Children's"", 'Comedy', 'Musical']",256,1
108,Catwalk (1995),['Documentary'],7,3
109,Headless Body in Topless Bar (1995),['Comedy'],0,1
